id,month_series,month,study,table,cohort,sex,measure,treatment,z,SE,SD,SD_lower,SD_upper,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated_gnrha,age,age_0,n,baseline,baseline_SE,baseline_SD,abs_per,abs_per_SE
59,0,0,Schagen,2,F_early,F,body_BMD,GnRHa,-0.28,0.27,2.0204949888579287,-0.55,-0.010000000000000009,0.88,g/cm^2,0.14966629547095767,0.7303337045290423,1.0296662954709577,0.02,24,14.5,14.5,56,-0.28,NA,NA,1,0.022727272727272728
59,24,24,Schagen,2,F_early,F,body_BMD,GnRHa,-0.82,0.24,1.7959955456514918,-1.06,-0.58,0.92,g/cm^2,0.14966629547095767,0.7703337045290424,1.0696662954709577,0.02,24,16.5,14.5,56,-0.28,NA,NA,1.0454545454545454,0.022727272727272728
60,0,0,Schagen,2,F_early,F,spine_BMAD,GnRHa,-0.15,0.29,2.170161284328886,-0.43999999999999995,0.13999999999999999,0.22,g/cm^3,0.07483314773547883,0.14516685226452117,0.29483314773547886,0.01,24,14.5,14.5,56,-0.15,NA,NA,1,0.045454545454545456
60,24,24,Schagen,2,F_early,F,spine_BMAD,GnRHa,-0.86,0.3,2.244994432064365,-1.16,-0.56,0.22,g/cm^3,0.07483314773547883,0.14516685226452117,0.29483314773547886,0.01,24,16.5,14.5,56,-0.15,NA,NA,1,0.045454545454545456
61,0,0,Schagen,2,F_early,F,hip_BMAD,GnRHa,-0.23,0.25,1.8708286933869707,-0.48,0.01999999999999999,0.3,g/cm^3,0.07483314773547883,0.22516685226452116,0.3748331477354788,0.01,24,14.5,14.5,56,-0.23,NA,NA,1,0.03333333333333333
61,24,24,Schagen,2,F_early,F,hip_BMAD,GnRHa,-0.94,0.3,2.244994432064365,-1.24,-0.6399999999999999,0.28,g/cm^3,0.07483314773547883,0.2051668522645212,0.35483314773547886,0.01,24,16.5,14.5,56,-0.23,NA,NA,0.9333333333333335,0.03333333333333333
3,0,0,Schagen,2,M_late,M,spine_aBMD,GnRHa,-0.33,0.17,1.02,-0.5,-0.16,0.95,g/cm^2,0.03872983346207417,0.9112701665379258,0.9887298334620741,0.01,24,14.1,14.1,36,-0.33,NA,NA,1,0.010526315789473686
3,24,24,Schagen,2,M_late,M,spine_aBMD,GnRHa,-0.92,0.17,1.02,-1.09,-0.75,0.92,g/cm^2,0.03872983346207417,0.8812701665379259,0.9587298334620742,0.01,24,16.1,14.1,36,-0.33,NA,NA,0.9684210526315791,0.010526315789473686
53,0,0,Schagen,4,M_late,M,spine_aBMD,Estrogen,-0.99,0.19,0.9688137075826291,-1.18,-0.8,0.83,g/cm^2,0.12,0.71,0.95,0.02,21.6,16.2,16.2,26,-0.33,0.17,1.02,1,0.024096385542168676
53,36,36,Schagen,4,M_late,M,spine_aBMD,Estrogen,-1.05,0.25,1.2747548783981961,-1.3,-0.8,0.95,g/cm^2,0.18,0.77,1.13,0.03,21.6,19.2,16.2,26,-0.33,0.17,1.02,1.144578313253012,0.03614457831325301
