id,month,study,table,cohort,sex,measure,treatment,z,SD,SD_lower,SD_upper,SE,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated,age,age_0,n,baseline
17,0,Klink,2,M,M,spine_BMAD,GnRHa,-0.44,1.1,-1.54,0.6600000000000001,0.3175426480542942,NA,NA,NA,NA,NA,NA,20,14.9,14.9,12,-0.44
17,20,Klink,2,M,M,spine_BMAD,GnRHa,-0.9,0.8,-1.7000000000000002,-0.09999999999999998,0.2138089935299395,NA,NA,NA,NA,NA,NA,20,16.6,14.9,14,-0.44
18,0,Klink,2,M,M,spine_aBMD,GnRHa,-0.77,0.89,-1.6600000000000001,0.12,0.26834509667420964,NA,NA,NA,NA,NA,NA,20,14.9,14.9,11,-0.77
18,20,Klink,2,M,M,spine_aBMD,GnRHa,-1.01,0.98,-1.99,-0.030000000000000027,0.2718030961503623,NA,NA,NA,NA,NA,NA,20,16.6,14.9,13,-0.77
19,0,Klink,2,M,M,hip_BMAD,GnRHa,-0.93,1.22,-2.15,0.2899999999999999,0.3678438403848716,NA,NA,NA,NA,NA,NA,20,14.9,14.9,11,-0.93
19,20,Klink,2,M,M,hip_BMAD,GnRHa,-1.57,1.74,-3.31,0.16999999999999993,0.550236312869298,NA,NA,NA,NA,NA,NA,20,16.6,14.9,10,-0.93
20,0,Klink,2,M,M,hip_aBMD,GnRHa,-0.66,0.77,-1.4300000000000002,0.10999999999999999,0.29103264421710495,NA,NA,NA,NA,NA,NA,20,14.9,14.9,7,-0.66
20,20,Klink,2,M,M,hip_aBMD,GnRHa,-0.95,0.63,-1.58,-0.31999999999999995,0.18995214708399108,NA,NA,NA,NA,NA,NA,20,16.6,14.9,11,-0.66
21,0,Klink,2,F,F,spine_BMAD,GnRHa,0.28,0.9,-0.62,1.1800000000000002,0.2064741604835056,0.25,g/cm^3,0.03,0.22,0.28,0.006882472016116852,16,15,15,19,0.28
21,16,Klink,2,F,F,spine_BMAD,GnRHa,-0.5,0.81,-1.31,0.31000000000000005,0.185826744435155,0.24,g/cm^3,0.02,0.22,0.26,0.004588314677411235,16,16.4,15,19,0.28
22,0,Klink,2,F,F,spine_aBMD,GnRHa,0.17,1.18,-1.01,1.3499999999999999,0.27071056596726284,0.95,g/m^2,0.12,0.83,1.0699999999999998,0.02752988806446741,16,15,15,19,0.17
22,16,Klink,2,F,F,spine_aBMD,GnRHa,-0.72,0.99,-1.71,0.27,0.22712157653185613,0.91,g/m^2,0.1,0.81,1.01,0.022941573387056175,16,16.4,15,19,0.17
23,0,Klink,2,F,F,hip_BMAD,GnRHa,0.01,0.7,-0.69,0.71,0.1649915822768611,NA,NA,NA,NA,NA,NA,16,15,15,18,0.01
23,16,Klink,2,F,F,hip_BMAD,GnRHa,-0.28,0.74,-1.02,0.45999999999999996,0.17441967269268174,NA,NA,NA,NA,NA,NA,16,16.4,15,18,0.01
24,0,Klink,2,F,F,hip_aBMD,GnRHa,0.36,0.88,-0.52,1.24,0.20188584580609434,NA,NA,NA,NA,NA,NA,16,15,15,19,0.36
24,16,Klink,2,F,F,hip_aBMD,GnRHa,-0.35,0.79,-1.1400000000000001,0.44000000000000006,0.1812384297577438,NA,NA,NA,NA,NA,NA,16,16.4,15,19,0.36
36,0,Vlot,2,F_young,F,hip_BMAD,GnRHa,-0.01,0.5525,-0.5625,0.5425,0.17471584072430293,0.31,g/cm^3,0.024999999999999994,0.28500000000000003,0.33499999999999996,0.007905694150420946,14,15.1,15.1,10,-0.01
36,14,Vlot,2,F_young,F,hip_BMAD,GnRHa,-0.37,0.6875,-1.0575,0.3175,0.21740658913657607,0.3,g/cm^3,0.032499999999999994,0.2675,0.33249999999999996,0.01027740239554723,14,16.3,15.1,10,-0.01
37,0,Vlot,2,F_young,F,spine_BMAD,GnRHa,-0.05,0.9299999999999999,-0.98,0.8799999999999999,0.28040555045732013,0.23,g/cm^3,0.022499999999999992,0.20750000000000002,0.2525,0.0067840052529996794,14,15.1,15.1,11,-0.05
37,14,Vlot,2,F_young,F,spine_BMAD,GnRHa,-0.84,0.7675000000000001,-1.6075,-0.0724999999999999,0.2314099569634336,0.23,g/cm^3,0.022500000000000006,0.20750000000000002,0.2525,0.006784005252999684,14,16.3,15.1,11,-0.05
42,0,Vlot,2,F_old,F,hip_BMAD,GnRHa,0.27,0.6775,-0.4075,0.9475,0.14126851552366818,0.33,g/cm^3,0.035,0.29500000000000004,0.365,0.007298004491997618,14,15.1,15.1,23,0.27
42,14,Vlot,2,F_old,F,hip_BMAD,GnRHa,-0.27,0.8,-1.07,0.53,0.16681153124565984,0.3,g/cm^3,0.04499999999999999,0.255,0.345,0.009383148632568363,14,16.3,15.1,23,0.27
